worker_id,worker_skill,experience_years,worker_location,distance_km,availability,rating,job_type,required_skill,match_score,match_label
W0001,Electrician,8,Secunderabad,6.5,Busy,4.3,Plumber,Plumber,0.344,0
W0002,Technician,1,Hyderabad,1.2,Busy,3.1,Driver,Driver,0.292,0
W0003,Domestic Helper,20,Vijayawada,17.7,Available Morning,3.1,Painter,Painter,0.37,0
W0004,Plumber,13,Guntur,8.8,Busy,3.0,Carpenter,Carpenter,0.32,0
W0005,Electrician,12,Hyderabad,2.9,Available Evening,4.0,Electrician,Electrician,0.957,1
W0006,Caregiver,3,Vijayawada,24.3,Available Morning,2.7,Domestic Helper,Domestic Helper,0.24,0
W0007,Technician,18,Hanamkonda,5.2,Available,2.6,Gardener,Gardener,0.46,0
W0008,Cleaner,7,Guntur,21.7,Available Morning,3.2,Electrician,Electrician,0.31,0
W0009,Carpenter,11,Secunderabad,5.6,Available Evening,4.3,Gardener,Gardener,0.491,0
W0010,Technician,17,Vijayawada,18.4,Busy,3.7,Carpenter,Carpenter,0.257,0
W0011,Domestic Helper,10,Hyderabad,21.1,Available,3.1,Painter,Painter,0.343,0
W0012,Gardener,8,Tirupati,2.1,Available Evening,3.0,Driver,Driver,0.473,0
W0013,Driver,4,Vijayawada,7.0,Busy,4.4,Caregiver,Caregiver,0.302,0
W0014,Technician,18,Warangal,10.3,Busy,5.0,Driver,Driver,0.348,0
W0015,Domestic Helper,2,Warangal,19.0,Available,2.9,Caregiver,Caregiver,0.276,0
W0016,Driver,2,Hyderabad,9.9,Available Morning,3.8,Technician,Technician,0.367,0
W0017,Electrician,8,Visakhapatnam,19.3,Available Evening,2.8,Domestic Helper,Domestic Helper,0.332,0
W0018,Carpenter,0,Warangal,23.9,Available Evening,4.9,Caregiver,Caregiver,0.257,0
W0019,Domestic Helper,20,Warangal,7.8,Busy,2.9,Electrician,Electrician,0.326,0
W0020,Domestic Helper,0,Guntur,15.2,Available Morning,2.5,Domestic Helper,Domestic Helper,0.728,1
